Unnamed: 0,answer_1,answer_2,answer_3,answer_4,graph_types,graph_types_ctl,graph_url,item_ids,open_answer,prop_correct,question,task_types,task_types_ctl,test_name
10,1 to 10,2 to 10,4 to 10,6 to 10,Stacked Bar Chart,Stacked Bar Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item11.png,VLAT_11,multiple-choice,0.5202578268876611,About what is the ratio of the cost of a sandwich to the total cost of room service in Seattle?,retrieve_value,retrieve_value,VLAT
11,New York City,Las Vegas,Atlanta,Washington D.C.,Stacked Bar Chart,Stacked Bar Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item12.png,VLAT_12,multiple-choice,,In which city is the cost of soda the highest?,find_extremum,find_extremum,VLAT
12,True,False,Skip,,Stacked Bar Chart,Stacked Bar Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item14.png,VLAT_13,multiple-choice,0.5349907918968693,The cost of vodka in Atlanta is higher than that of Honolulu.,make_comparisons,make_comparisons,VLAT
13,True,False,Skip,,Stacked Bar Chart,Stacked Bar Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item15.png,VLAT_14,multiple-choice,0.7440147329650092,The ratio of the cost of Soda to the cost of Water in Orlando is higher than that of Washington D.C.,make_comparisons,make_comparisons,VLAT
14,38%,47%,53%,62%,100 % Stacked Bar Chart,100 % Stacked Bar Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item16.png,VLAT_15,multiple-choice,0.6012891344383057,What is the approval rating of Republicans among the people who have the education level of Postgraduate Study?,retrieve_value,retrieve_value,VLAT
15,High School Graduate or Less,Some College Degree,College Graduate,Postgraduate study,100 % Stacked Bar Chart,100 % Stacked Bar Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item17.png,VLAT_16,multiple-choice,0.8738489871086557,What is the education level of people in which the Democrats have the lowest approval rating?,find_extremum,find_extremum,VLAT
16,True,False,Skip,,100 % Stacked Bar Chart,100 % Stacked Bar Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item18.png,VLAT_17,multiple-choice,0.6841620626151013,The approval rating of Republicans for the people who have the education level of Some College Degree is lower than that for the people who have the education level of Postgraduate Study.,make_comparisons,make_comparisons,VLAT
17,15%,25%,33%,50%,Pie Chart,Pie Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item19.png,VLAT_18,multiple-choice,0.7246777163904236,About what is the global smartphone market share of Samsung?,retrieve_value,retrieve_value,VLAT
18,Apple,Xiaomi,Lenovo,Others,Pie Chart,Pie Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item20.png,VLAT_19,multiple-choice,0.9613259668508287,In which company is the global smartphone market share the smallest?,find_extremum,find_extremum,VLAT
19,True,False,Skip,,Pie Chart,Pie Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item21.png,VLAT_20,multiple-choice,0.9502762430939227,The global smartphone market share of Apple is larger than that of Huawei.,make_comparisons,make_comparisons,VLAT
20,145,153,200,240,Histogram,Histogram,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item22.png,VLAT_21,multiple-choice,0.9465930018416207,How many people have rated the taxi between 4.0 and 4.2?,retrieve_value,retrieve_value,VLAT
21,4.2 - 4.4,4.4 - 4.6,4.6 - 4.8,4.8 - 5.0,Histogram,Histogram,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item23.png,VLAT_22,multiple-choice,0.9456721915285451,What is the rating that the people have rated the taxi the most?,find_extremum,find_extremum,VLAT
22,True,False,Skip,,Histogram,Histogram,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item25.png,VLAT_23,multiple-choice,0.929097605893186,More people have rated the taxi between 4.6 and 4.8 than between 4.2 and 4.4.,characterize_distribution,characterize_distribution,VLAT
23,53.9 kg,67.7 kg,70.5 kg,82.7 kg,Scatterplot,Scatterplot,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item26.png,VLAT_24,multiple-choice,0.8434622467771639,What is the weight for the person who is 165.1 cm tall?,retrieve_value,retrieve_value,VLAT
24,175.3 cm,192 cm,197.1 cm,200 cm,Scatterplot,Scatterplot,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item27.png,VLAT_25,multiple-choice,0.8406998158379374,What is the height for the tallest person among the 85 males?,find_extremum,find_extremum,VLAT
25,40 - 130 kg,62.3 - 90.9 kg,53.9 - 102.3 kg,53.9 - 123.6 kg,Scatterplot,Scatterplot,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item28.png,VLAT_26,multiple-choice,0.7707182320441989,What is the range in weight for the 85 males?,determine_Range,determine_Range,VLAT
26,175.3 cm,192 cm,197.1 cm,200 cm,Scatterplot,Scatterplot,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item29.png,VLAT_27,multiple-choice,0.5313075506445673,What is the height for a person who lies outside the others the most?,find_anomolies,find_anomolies,VLAT
27,True,False,Skip,,Scatterplot,Scatterplot,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item30.png,VLAT_28,multiple-choice,0.8517495395948435,A group of males are gathered around the height of 176 cm and the weight of 70 kg.,find_clusters,find_clusters,VLAT
28,True,False,Skip,,Scatterplot,Scatterplot,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item31.png,VLAT_29,multiple-choice,0.7983425414364641,There is a negative linear relationship between the height and the weight of the 85 males.,find_correlations_trends,find_correlations_trends,VLAT
29,True,False,Skip,,Scatterplot,Scatterplot,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item32.png,VLAT_30,multiple-choice,0.8149171270718232,The weights for males with the height of 188 cm are all the same.,make_comparisons,make_comparisons,VLAT
30,$4.90,$5.00,$5.10,$5.20,Area Chart,Area Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item35.png,VLAT_31,multiple-choice,0.7394106813996317,What was the average price of a pound of coffee beans in September 2013?,retrieve_value,retrieve_value,VLAT
31,April 2013,September 2013,June 2014,December 2014,Area Chart,Area Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item36.png,VLAT_32,multiple-choice,0.35911602209944754,When was the average price of a pound of coffee beans at minimum?,find_extremum,find_extremum,VLAT
32,$4.4 - $6.2,$4.6 - $5.9,$4.6 - $6.0,$4.6 - $6.1,Area Chart,Area Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item37.png,VLAT_33,multiple-choice,0.3388581952117864,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,determine_Range,determine_Range,VLAT
33,rising,falling,staying,Skip,Area Chart,Area Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item38.png,VLAT_34,multiple-choice,0.9410681399631676,"Over the course of 2013, the average price of a pound of coffee beans was ____________.",find_correlations_trends,find_correlations_trends,VLAT
34,1500,3800,4200,8000,Stacked Area Chart,Stacked Area Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item40.png,VLAT_35,multiple-choice,0.2550644567219153,What was the number of girls named 'Amelia' in 2010 in the UK?,retrieve_value,retrieve_value,VLAT
35,1 to 1,1 to 2,1 to 3,1 to 4,Stacked Area Chart,Stacked Area Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item41.png,VLAT_36,multiple-choice,0.36279926335174956,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in the UK?,retrieve_value,retrieve_value,VLAT
36,2009,2011,2012,2014,Stacked Area Chart,Stacked Area Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item42.png,VLAT_37,multiple-choice,0.9088397790055248,"Over the course of years between 2009 and 2014, when was the number of girls named 'Amelia' at the maximum?",find_extremum,find_extremum,VLAT
37,rising,falling,staying,Skip,Stacked Area Chart,Stacked Area Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item43.png,VLAT_38,multiple-choice,0.9337016574585635,The number of girls named 'Isla' was __________ from 2009 to 2012.,find_correlations_trends,find_correlations_trends,VLAT
38,True,False,Skip,,Stacked Area Chart,Stacked Area Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item44.png,VLAT_39,multiple-choice,0.2900552486187845,"In the UK, the number of girls named 'Amelia' in 2014 was more than it was in 2013.",make_comparisons,make_comparisons,VLAT
39,True,False,Skip,,Stacked Area Chart,Stacked Area Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item45.png,VLAT_40,multiple-choice,0.39226519337016574,"Over the course of years between 2009 and 2014, the number of girls named 'Isla' was always more than 'Olivia'.",make_comparisons,make_comparisons,VLAT
40,330 km,400 km,530 km,560 km,Bubble Chart,Bubble Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item47.png,VLAT_41,multiple-choice,0.8499079189686924,What is the total length of the metro system in Beijing?,retrieve_value,retrieve_value,VLAT
41,Seoul,Beijing,New York City,Shanghai,Bubble Chart,Bubble Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item48.png,VLAT_42,multiple-choice,0.7937384898710865,Which city's metro system has the largest number of stations?,find_extremum,find_extremum,VLAT
42,150 - 600 km,240 - 380 km,240 - 560 km,180 - 560 km,Bubble Chart,Bubble Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item49.png,VLAT_43,multiple-choice,0.7246777163904236,What is the range of the total length of the metro systems?,determine_Range,determine_Range,VLAT
43,Tokyo,New York City,Beijing,London,Bubble Chart,Bubble Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item50.png,VLAT_44,multiple-choice,0.7348066298342542,Which city's metro system does lie outside the relationship between the total system length and the number of stations most?,find_anomolies,find_anomolies,VLAT
44,True,False,Skip,,Bubble Chart,Bubble Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item51.png,VLAT_45,multiple-choice,0.7688766114180479,A group of the metro systems of the world has approximately 300 stations and around a 200km system length.,find_clusters,find_clusters,VLAT
45,True,False,Skip,,Bubble Chart,Bubble Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item52.png,VLAT_46,multiple-choice,0.4576427255985267,"In general, the ridership of the metro system increases as the number of stations increases.",find_correlations_trends,find_correlations_trends,VLAT
46,True,False,Skip,,Bubble Chart,Bubble Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item53.png,VLAT_47,multiple-choice,0.7182320441988951,The metro system in Shanghai has more ridership than the metro system in Beijing.,make_comparisons,make_comparisons,VLAT
47,1.1% - 2.3%,2.3% - 3.4%,3.4% - 4.6%,4.0% - 5.0%,Choropleth Map,Choropleth Map,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item55.png,VLAT_48,multiple-choice,0.3674033149171271,What was the unemployment rate for Indiana (IN) in 2015?,retrieve_value,retrieve_value,VLAT
48,Alaska (AK),New Mexico (NM),Florida (FL),New York (NY),Choropleth Map,Choropleth Map,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item56.png,VLAT_49,multiple-choice,0.511049723756906,In which state was the unemployment rate the highest in 2015?,find_extremum,find_extremum,VLAT
49,True,False,Skip,,Choropleth Map,Choropleth Map,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item57.png,VLAT_50,multiple-choice,0.8821362799263351,"In 2015, the unemployment rate for Washington (WA) was higher than that of Wisconsin (WI).",make_comparisons,make_comparisons,VLAT
50,Facebook,Amazon,Bing,Google,Treemap,Treemap,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item59.png,VLAT_51,multiple-choice,0.8977900552486188,For which website was the number of unique visitors the largest in 2010?,find_extremum,find_extremum,VLAT
51,True,False,,,Treemap,Treemap,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item60.png,VLAT_52,multiple-choice,0.8637200736648251,The number of unique visitors for Amazon was more than that of Yahoo in 2010.,make_comparisons,make_comparisons,VLAT
52,True,False,Skip,,Treemap,Treemap,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item61.png,VLAT_53,multiple-choice,0.8876611418047882,Samsung is nested in the Financial category.,find_correlations_trends,find_correlations_trends,VLAT
